BOGOTA;MANIZALES;MELGAR;AUTOPISTA DEL CAFE;Tarapaca II;Categoria V;52500;8 h 19 min;369;SI
BOGOTA;MANIZALES;MELGAR;AUTOPISTA DEL CAFE;Tarapaca II;Categoria VI;69600;8 h 19 min;369;SI
BOGOTA;MANIZALES;MELGAR;AUTOPISTA DEL CAFE;Tarapaca II;Categoria VII;77700;8 h 19 min;369;SI
BOGOTA;MANIZALES;MELGAR;AUTOPISTA DEL CAFE;Pavas;Categoria I;14600;8 h 19 min;369;SI
BOGOTA;MANIZALES;MELGAR;AUTOPISTA DEL CAFE;Pavas;Categoria II;17500;8 h 19 min;369;SI
BOGOTA;MANIZALES;MELGAR;AUTOPISTA DEL CAFE;Pavas;Categoria III;17500;8 h 19 min;369;SI
BOGOTA;MANIZALES;MELGAR;AUTOPISTA DEL CAFE;Pavas;Categoria IV;17500;8 h 19 min;369;SI
BOGOTA;MANIZALES;MELGAR;AUTOPISTA DEL CAFE;Pavas;Categoria V;42600;8 h 19 min;369;SI
BOGOTA;MANIZALES;MELGAR;AUTOPISTA DEL CAFE;Pavas;Categoria VI;53200;8 h 19 min;369;SI
BOGOTA;MANIZALES;MELGAR;AUTOPISTA DEL CAFE;Pavas;Categoria VII;61600;8 h 19 min;369;SI
BOGOTA;MANIZALES;FACATATIVA;SABANA DE OCCIDENTE;Siberia;Categoria I;13800;7 h 10 min;305;SI
BOGOTA;MANIZALES;FACATATIVA;SABANA DE OCCIDENTE;Siberia;Categoria II;19600;7 h 10 min;305;SI
BOGOTA;MANIZALES;FACATATIVA;SABANA DE OCCIDENTE;Siberia;Categoria III;16500;7 h 10 min;305;SI
BOGOTA;MANIZALES;FACATATIVA;SABANA DE OCCIDENTE;Siberia;Categoria IV;21900;7 h 10 min;305;SI
BOGOTA;MANIZALES;FACATATIVA;SABANA DE OCCIDENTE;Siberia;Categoria V;38300;7 h 10 min;305;SI
BOGOTA;MANIZALES;FACATATIVA;SABANA DE OCCIDENTE;Siberia;Categoria VI;51200;7 h 10 min;305;SI
BOGOTA;MANIZALES;FACATATIVA;SABANA DE OCCIDENTE;Siberia;Categoria VII;56300;7 h 10 min;305;SI
BOGOTA;MANIZALES;FACATATIVA;PANAMERICANA;Guayabal;Categoria I;18200;7 h 10 min;305;SI
BOGOTA;MANIZALES;FACATATIVA;PANAMERICANA;Guayabal;Categoria II;24900;7 h 10 min;305;SI
BOGOTA;MANIZALES;FACATATIVA;PANAMERICANA;Guayabal;Categoria III;20800;7 h 10 min;305;SI
BOGOTA;MANIZALES;FACATATIVA;PANAMERICANA;Guayabal;Categoria IV;29000;7 h 10 min;305;SI
BOGOTA;MANIZALES;FACATATIVA;PANAMERICANA;Guayabal;Categoria V;52100;7 h 10 min;305;SI
BOGOTA;MANIZALES;FACATATIVA;PANAMERICANA;Guayabal;Categoria VI;67500;7 h 10 min;305;SI
BOGOTA;MANIZALES;FACATATIVA;PANAMERICANA;Guayabal;Categoria VII;81100;7 h 10 min;305;SI
BOGOTA;PEREIRA;MELGAR;Via 40;Chusac�;Categoria I;13300;7 h 4 min;316;SI
BOGOTA;PEREIRA;MELGAR;Via 40;Chusac�;Categoria II;14900;7 h 4 min;316;SI
BOGOTA;PEREIRA;MELGAR;Via 40;Chusac�;Categoria III;31500;7 h 4 min;316;SI
BOGOTA;PEREIRA;MELGAR;Via 40;Chusac�;Categoria IV;51100;7 h 4 min;316;SI
BOGOTA;PEREIRA;MELGAR;Via 40;Chusac�;Categoria V;58600;7 h 4 min;316;SI
BOGOTA;PEREIRA;MELGAR;Via 40;Chinauta;Categoria I;13300;7 h 4 min;316;SI
BOGOTA;PEREIRA;MELGAR;Via 40;Chinauta;Categoria II;14900;7 h 4 min;316;SI
BOGOTA;PEREIRA;MELGAR;Via 40;Chinauta;Categoria III;31500;7 h 4 min;316;SI
BOGOTA;PEREIRA;MELGAR;Via 40;Chinauta;Categoria IV;51100;7 h 4 min;316;SI
BOGOTA;PEREIRA;MELGAR;Via 40;Chinauta;Categoria V;58600;7 h 4 min;316;SI
BOGOTA;PEREIRA;MELGAR;APPGICA;Chicoral;Categoria I;13800;7 h 4 min;316;SI
BOGOTA;PEREIRA;MELGAR;APPGICA;Chicoral;Categoria II;15100;7 h 4 min;316;SI
BOGOTA;PEREIRA;MELGAR;APPGICA;Chicoral;Categoria III;13800;7 h 4 min;316;SI
BOGOTA;PEREIRA;MELGAR;APPGICA;Chicoral;Categoria IV;17900;7 h 4 min;316;SI
BOGOTA;PEREIRA;MELGAR;APPGICA;Chicoral;Categoria V;36100;7 h 4 min;316;SI
BOGOTA;PEREIRA;MELGAR;APPGICA;Chicoral;Categoria VI;48000;7 h 4 min;316;SI
BOGOTA;PEREIRA;MELGAR;APPGICA;Chicoral;Categoria VII;53000;7 h 4 min;316;SI
BOGOTA;PEREIRA;MELGAR;APPGICA;Gualanday;Categoria I;12700;7 h 4 min;316;SI
BOGOTA;PEREIRA;MELGAR;APPGICA;Gualanday;Categoria II;14900;7 h 4 min;316;SI
BOGOTA;PEREIRA;MELGAR;APPGICA;Gualanday;Categoria III;35000;7 h 4 min;316;SI
BOGOTA;PEREIRA;MELGAR;APPGICA;Gualanday;Categoria IV;47000;7 h 4 min;316;SI
BOGOTA;PEREIRA;MELGAR;APPGICA;Gualanday;Categoria V;51700;7 h 4 min;316;SI
BOGOTA;PEREIRA;MELGAR;PEAJES NACIONALES;Tunel de la linea - Portal Bermell�n;Categoria I;10800;7 h 4 min;316;SI
BOGOTA;PEREIRA;MELGAR;PEAJES NACIONALES;Tunel de la linea - Portal Bermell�n;Categoria II;12100;7 h 4 min;316;SI
BOGOTA;PEREIRA;MELGAR;PEAJES NACIONALES;Tunel de la linea - Portal Bermell�n;Categoria III;24700;7 h 4 min;316;SI
BOGOTA;PEREIRA;MELGAR;PEAJES NACIONALES;Tunel de la linea - Portal Bermell�n;Categoria IV;31400;7 h 4 min;316;SI
BOGOTA;PEREIRA;MELGAR;PEAJES NACIONALES;Tunel de la linea - Portal Bermell�n;Categoria V;35500;7 h 4 min;316;SI
BOGOTA;PEREIRA;MELGAR;AUTOPISTA DEL CAFE;Circasia;Categoria I;19200;7 h 4 min;316;SI
BOGOTA;PEREIRA;MELGAR;AUTOPISTA DEL CAFE;Circasia;Categoria II;24400;7 h 4 min;316;SI
BOGOTA;PEREIRA;MELGAR;AUTOPISTA DEL CAFE;Circasia;Categoria III;24400;7 h 4 min;316;SI
BOGOTA;PEREIRA;MELGAR;AUTOPISTA DEL CAFE;Circasia;Categoria IV;24400;7 h 4 min;316;SI
BOGOTA;PEREIRA;MELGAR;AUTOPISTA DEL CAFE;Circasia;Categoria V;59200;7 h 4 min;316;SI
BOGOTA;PEREIRA;MELGAR;AUTOPISTA DEL CAFE;Circasia;Categoria VI;72700;7 h 4 min;316;SI
BOGOTA;PEREIRA;MELGAR;AUTOPISTA DEL CAFE;Circasia;Categoria VII;80900;7 h 4 min;316;SI
BOGOTA;PEREIRA;GIRARDOT;CCFC;Rio Bogota;Categoria I;11200;6 h 58 min;324;SI
BOGOTA;PEREIRA;GIRARDOT;CCFC;Rio Bogota;Categoria II;16700;6 h 58 min;324;SI
BOGOTA;PEREIRA;GIRARDOT;CCFC;Rio Bogota;Categoria III;14600;6 h 58 min;324;SI
BOGOTA;PEREIRA;GIRARDOT;CCFC;Rio Bogota;Categoria IV;19300;6 h 58 min;324;SI
BOGOTA;PEREIRA;GIRARDOT;CCFC;Rio Bogota;Categoria V;32700;6 h 58 min;324;SI
BOGOTA;PEREIRA;GIRARDOT;CCFC;Rio Bogota;Categoria VI;44100;6 h 58 min;324;SI
BOGOTA;PEREIRA;GIRARDOT;CCFC;Rio Bogota;Categoria VII;47700;6 h 58 min;324;SI
BOGOTA;PEREIRA;GIRARDOT;DEVISAB;Mondo�edo;Categoria I;16700;6 h 58 min;324;Si
BOGOTA;PEREIRA;GIRARDOT;DEVISAB;Mondo�edo;Categoria II;20000;6 h 58 min;324;Si
BOGOTA;PEREIRA;GIRARDOT;DEVISAB;Mondo�edo;Categoria III;20000;6 h 58 min;324;Si
BOGOTA;PEREIRA;GIRARDOT;DEVISAB;Mondo�edo;Categoria IV;22900;6 h 58 min;324;Si
BOGOTA;PEREIRA;GIRARDOT;DEVISAB;Mondo�edo;Categoria V;66200;6 h 58 min;324;Si
BOGOTA;PEREIRA;GIRARDOT;DEVISAB;Mondo�edo;Categoria VI;91000;6 h 58 min;324;Si
BOGOTA;PEREIRA;GIRARDOT;DEVISAB;Mondo�edo;Categoria VII;104000;6 h 58 min;324;Si
BOGOTA;PEREIRA;GIRARDOT;DEVISAB;San pedro;Categoria I;15500;6 h 58 min;324;Si
BOGOTA;PEREIRA;GIRARDOT;DEVISAB;San pedro;Categoria II;17400;6 h 58 min;324;Si
BOGOTA;PEREIRA;GIRARDOT;DEVISAB;San pedro;Categoria III;20000;6 h 58 min;324;Si
BOGOTA;PEREIRA;GIRARDOT;DEVISAB;San pedro;Categoria IV;26900;6 h 58 min;324;Si
BOGOTA;PEREIRA;GIRARDOT;DEVISAB;San pedro;Categoria V;57700;6 h 58 min;324;Si
BOGOTA;PEREIRA;GIRARDOT;DEVISAB;San pedro;Categoria VI;75200;6 h 58 min;324;Si
BOGOTA;PEREIRA;GIRARDOT;DEVISAB;San pedro;Categoria VII;87000;6 h 58 min;324;Si
BOGOTA;PEREIRA;GIRARDOT;APPGICA;Chicoral;Categoria I;13800;6 h 58 min;324;SI
BOGOTA;PEREIRA;GIRARDOT;APPGICA;Chicoral;Categoria II;15100;6 h 58 min;324;SI
BOGOTA;PEREIRA;GIRARDOT;APPGICA;Chicoral;Categoria III;13800;6 h 58 min;324;SI
BOGOTA;PEREIRA;GIRARDOT;APPGICA;Chicoral;Categoria IV;17900;6 h 58 min;324;SI
BOGOTA;PEREIRA;GIRARDOT;APPGICA;Chicoral;Categoria V;36100;6 h 58 min;324;SI
BOGOTA;PEREIRA;GIRARDOT;APPGICA;Chicoral;Categoria VI;48000;6 h 58 min;324;SI
BOGOTA;PEREIRA;GIRARDOT;APPGICA;Chicoral;Categoria VII;53000;6 h 58 min;324;SI
BOGOTA;PEREIRA;GIRARDOT;APPGICA;Gualanday;Categoria I;12700;6 h 58 min;324;SI
BOGOTA;PEREIRA;GIRARDOT;APPGICA;Gualanday;Categoria II;14900;6 h 58 min;324;SI
BOGOTA;PEREIRA;GIRARDOT;APPGICA;Gualanday;Categoria III;35000;6 h 58 min;324;SI
BOGOTA;PEREIRA;GIRARDOT;APPGICA;Gualanday;Categoria IV;47000;6 h 58 min;324;SI
BOGOTA;PEREIRA;GIRARDOT;APPGICA;Gualanday;Categoria V;51700;6 h 58 min;324;SI
BOGOTA;PEREIRA;GIRARDOT;PEAJES NACIONALES;Tunel de la linea - Portal Bermell�n;Categoria I;10800;6 h 58 min;324;SI
BOGOTA;PEREIRA;GIRARDOT;PEAJES NACIONALES;Tunel de la linea - Portal Bermell�n;Categoria II;12100;6 h 58 min;324;SI
BOGOTA;PEREIRA;GIRARDOT;PEAJES NACIONALES;Tunel de la linea - Portal Bermell�n;Categoria III;24700;6 h 58 min;324;SI
BOGOTA;PEREIRA;GIRARDOT;PEAJES NACIONALES;Tunel de la linea - Portal Bermell�n;Categoria IV;31400;6 h 58 min;324;SI
BOGOTA;PEREIRA;GIRARDOT;PEAJES NACIONALES;Tunel de la linea - Portal Bermell�n;Categoria V;35500;6 h 58 min;324;SI
BOGOTA;PEREIRA;GIRARDOT;AUTOPISTA DEL CAFE;Circasia;Categoria I;19200;6 h 58 min;324;SI
BOGOTA;PEREIRA;GIRARDOT;AUTOPISTA DEL CAFE;Circasia;Categoria II;24400;6 h 58 min;324;SI
BOGOTA;PEREIRA;GIRARDOT;AUTOPISTA DEL CAFE;Circasia;Categoria III;24400;6 h 58 min;324;SI
BOGOTA;PEREIRA;GIRARDOT;AUTOPISTA DEL CAFE;Circasia;Categoria IV;24400;6 h 58 min;324;SI
